"","club.x","playDirection","y.x","a.x","dis.x","dir.x","weight.x","position.x","tackle","club.y","x.y","s.y","a.y","dis.y","o.y","weight.y","position.y","quarter","down","yardsToGo","yardlineNumber","gameClock","passResult","offenseFormation","defendersInTheBox","preSnapHomeTeamWinProbability","preSnapVisitorTeamWinProbability","homeTeamWinProbabilityAdded","visitorTeamWinProbilityAdded","expectedPoints","expectedPointsAdded","age.y"
"7574","MIA","left",21.5,1.08,0.19,359.65,205,"SS",1,"PIT",78.08,1.61,2.48,0.16,219.49,181,"WR",3,1,10,27,487,"C","SHOTGUN",7,0.836316781,0.163683219,-0.001095193,0.001095193,1.699555044,0.165396814,26.3901098901099
"2316","CLE","right",17.91,0.35,0.26,94.11,291,"DT",0,"PIT",17.79,0.55,1.14,0.06,92.34,292,"C",3,3,9,17,855,"C","SHOTGUN",6,0.550896283,0.449103717,-0.083198514,0.083198514,-1.07315422,2.761469279,26.5769230769231
"3744","BUF","right",29.99,0.4,0.03,319.3,195,"SS",1,"BAL",105.84,0.8,0.17,0.08,30.1,311,"FB",1,3,1,7,107,"mi","I_FORM",7,0.686829738,0.313170262,0.011674952,-0.011674952,5.333363508,0.736587441,28.4478021978022
"77","NO","left",35.15,1.25,0.47,302.32,298,"DT",0,"ATL",22.54,4.2,1.76,0.45,308.75,300,"C",2,1,10,17,779,"mi","PISTOL",7,0.2953017,0.7046983,0.078133482,-0.078133482,4.691123447,0.952017615,NA
"9157","JAX","left",35.58,2.54,0.12,111.98,310,"DT",1,"LV",58.03,0.2,0.63,0.06,293.06,220,"RB",4,1,10,45,685,"mi","SHOTGUN",6,0.578843478,0.421156522,0.049131416,-0.049131416,2.970276386,-1.018030932,24.8186813186813
"9636","NO","left",14.45,1.69,0.56,282.78,190,"FS",0,"BAL",32.35,2.96,1.89,0.31,291.96,310,"G",4,3,1,36,667,"mi","SHOTGUN",7,0.066538073,0.933461927,-0.022163119,0.022163119,3.054931138,1.391480291,26.1126373626374
"5770","ATL","left",16.77,1.73,0.21,226.48,194,"SS",1,"SF",78.53,3.76,2.42,0.36,192.33,214,"WR",3,1,10,25,520,"mi","I_FORM",7,0.854286782,0.145713218,-0.010889176,0.010889176,1.655206756,0.400209951,26.8434065934066
"6871","CAR","right",12.9,4.71,0.15,230.91,230,"ILB",1,"TB",34.69,3.03,2.08,0.3,355.53,231,"WR",1,1,10,27,659,"C","EMPTY",6,0.179140475,0.820859525,-0.001111977,0.001111977,1.396709677,-0.083380414,29.271978021978
"3075","LAC","left",26.31,2.45,0.24,263.87,234,"ILB",1,"JAX",83,2.15,1.97,0.23,131.45,200,"RB",1,2,4,21,601,"mi","SHOTGUN",5,0.70225133,0.29774867,-0.026051577,0.026051577,0.578707013,0.804552769,NA
"8519","LA","left",6.41,3.17,0.14,195.32,208,"CB",1,"SF",25.65,2.88,2.95,0.28,248.84,194,"RB",3,1,10,28,255,"mi","PISTOL",8,0.572512802,0.427487198,-0.029857248,0.029857248,4.288364046,0.58149773,27.0467032967033
"3399","DAL","left",41.22,2.11,0.13,0.31,196,"CB",1,"NYG",38.88,1.63,1.43,0.17,135.16,233,"RB",2,2,1,32,797,"mi","SINGLEBACK",7,0.459389959,0.540610041,-0.000376068,0.000376068,4.129186627,-0.064207471,25.7142857142857
"6473","KC","right",51.36,3.4,0.36,66.94,204,"CB",1,"BUF",74.89,3.64,4.39,0.37,58.56,203,"RB",3,1,10,40,547,"C","SHOTGUN",6,0.355371114,0.644628886,0.000641055,-0.000641055,3.813538892,0.097333264,25.2032967032967
"3878","WAS","left",0.85,1.62,0.33,307.03,240,"ILB",0,"DAL",54.43,3.39,1.32,0.34,277.83,189,"WR",1,3,5,30,860,"C","SHOTGUN",6,0.558474023,0.441525977,0.080125857,-0.080125857,0.100871047,3.541699666,23.5659340659341
"7777","DEN","left",31.7,3.07,0.68,271.51,257,"OLB",1,"JAX",69.76,5.85,2.95,0.59,251.71,220,"QB",1,1,10,38,762,"R","SHOTGUN",6,0.480386492,0.519613508,0.002221033,-0.002221033,2.169851311,-0.236961706,NA
"6766","BAL","right",51.47,3.93,0.33,25.11,210,"SS",1,"CLE",46.45,2.49,5.01,0.23,60.77,225,"RB",3,2,15,35,762,"C","SHOTGUN",6,0.637053575,0.362946425,0.018756628,-0.018756628,0.880758952,-0.726627998,26.9148351648352
"2557","KC","right",0.17,2.87,0.38,195.05,193,"CB",1,"IND",41.68,5.24,2.06,0.53,85.19,205,"WR",4,3,3,31,445,"C","SHOTGUN",6,0.249263987,0.750736013,-0.051680133,0.051680133,0.56519928,-1.039195785,25.2802197802198
"4846","HOU","right",7.44,4,0.41,127.05,230,"ILB",1,"JAX",103.56,3.99,1.26,0.41,179.66,200,"WR",3,1,10,16,650,"mi","EMPTY",6,0.820202028,0.179797972,0.001451651,-0.001451651,5.04533417,0.81058468,27.6236263736264
"1688","PIT","left",25.75,2.05,0.05,13.41,190,"CB",0,"NE",42.12,2.89,1.17,0.29,318.72,200,"WR",4,1,10,43,143,"mi","SHOTGUN",7,0.106581699,0.893418301,-0.092927341,0.092927341,2.691411328,1.083522542,25.9450549450549
"2612","MIA","right",19.18,2.26,0.23,147.48,275,"DE",1,"BUF",50.15,3.26,0.72,0.33,151.91,251,"TE",3,2,2,39,619,"mi","SHOTGUN",7,0.385289457,0.614710543,-0.00876908,0.00876908,2.263693227,0.19938033,NA
"4965","CHI","right",43.74,1.73,0.32,1.98,190,"CB",1,"MIN",84.53,3.8,3.89,0.39,38.89,210,"RB",4,1,10,35,301,"mi","SINGLEBACK",6,0.664072569,0.335927431,0.025523901,-0.025523901,3.673924266,0.385047507,27.2582417582418
